wyId,shortName,firstName,middleName,lastName,birthDate,birthArea,passportArea,currentTeamId
275580,Cesar Domingo,César Domingo,,Mendiondo López,,"{'id': 76, 'alpha2code': 'BR', 'alpha3code': 'BRA', 'name': 'Brazil'}","{'id': 76, 'alpha2code': 'BR', 'alpha3code': 'BRA', 'name': 'Brazil'}",0
14710,J. Heynckes,Josef,,Heynckes,1945-05-09,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",0
135480,G. De Biasi,Giovanni,,De Biasi,1956-06-16,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",0
210074,Marcelino,Marcelino,,García Toral,1965-08-14,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",674
293398,T. Korkut,Tayfun,,Korkut,1974-04-02,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 792, 'alpha2code': 'TR', 'alpha3code': 'TUR', 'name': 'Turkey'}",0
92894,Ernesto Valverde,Ernesto,,Valverde Tejedor,1964-02-09,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",676
3880,Unzué,Juan Carlos,,Unzué Labiano,1967-04-22,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",0
17121,D. Schuster,Dirk,,Schuster,1967-12-29,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",0
20454,A. Conte,Antonio,,Conte,1969-07-31,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",0
86604,R. Gareca,Ricardo Alberto,,Gareca Nardi,1958-02-10,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}","{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",0
259751,M. Gisdol,Markus ,,Gisdol,1969-08-17,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",0
142913,G. Rohr,Gernot,,Rohr,1953-06-28,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",0
15114,D. Hecking,Dieter,,Hecking,1964-09-12,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",2454
21061,V. Montella,Vincenzo,,Montella,1974-06-18,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",3176
20603,G. Iachini,Giuseppe,,Iachini,1964-05-07,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",0
14735,B. Labbadia,Bruno,,Labbadia,1966-02-08,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",2451
210205,L. Lagerbäck,Lars,,Lagerbäck,1948-07-16,"{'id': 752, 'alpha2code': 'SE', 'alpha3code': 'SWE', 'name': 'Sweden'}","{'id': 752, 'alpha2code': 'SE', 'alpha3code': 'SWE', 'name': 'Sweden'}",0
225952,Fran Escribá,Francisco ,,Escriba Segura,1965-05-03,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",692
26812,C. Pélissier,Christophe,,Pélissier,1965-10-05,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}","{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",3789
251025,S. Inzaghi,Simone,,Inzaghi,1976-04-05,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",3162
25691,R. Garcia,Rudi,,Garcia,1964-02-20,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}","{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",3771
210152,L. Delneri,Luigi,,Delneri,1950-08-23,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",0
20386,M. Allegri,Massimiliano,,Allegri,1967-08-11,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",3159
18702,M. Schmidt,Martin,,Schmidt,1967-04-12,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}","{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",2481
295160,Pako Ayestarán,Francisco Martín,,Ayestarán Barandiarán,1963-02-05,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",0
230918,Abelardo,Abelardo,,Fernández Antuña,1970-04-19,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",696
116503,D. Alonso,Diego Martín,,Alonso López,1975-04-16,"{'id': 858, 'alpha2code': 'UY', 'alpha3code': 'URY', 'name': 'Uruguay'}","{'id': 858, 'alpha2code': 'UY', 'alpha3code': 'URY', 'name': 'Uruguay'}",15444
18987,P. Dárdai,Pál,,Dárdai,1976-03-16,"{'id': 348, 'alpha2code': 'HU', 'alpha3code': 'HUN', 'name': 'Hungary'}","{'id': 348, 'alpha2code': 'HU', 'alpha3code': 'HUN', 'name': 'Hungary'}",2457
210700,Rafael Benítez,Rafael,,Benítez Maudes,1960-04-16,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1613
18572,D. Wagner,David,,Wagner,1971-10-19,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 840, 'alpha2code': 'US', 'alpha3code': 'USA', 'name': 'United States'}",0
69952,A. Čačić,Ante,,Čačić,1953-09-29,"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}","{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",0
86569,Pizzi,Juan Antonio,,Pizzi Torroja,1968-06-07,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",0
355598,Imanol Alguacil,Imanol,,Alguacil Barrenetxea,1971-07-04,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",723
210513,P. Garande,Patrice,,Garande,1960-11-27,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}","{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",0
23551,M. Rastelli,Massimo,,Rastelli,1968-12-27,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",3235
32573,Carlos Carvalhal,Carlos Augusto,,Soares da Costa Faria Carvalhal,1965-12-04,"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}","{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",0
210902,B. Storck,Bernd,,Storck,1963-01-25,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",5187
15824,R. Hasenhüttl,Ralph,,Hasenhüttl,1967-08-09,"{'id': 40, 'alpha2code': 'AT', 'alpha3code': 'AUT', 'name': 'Austria'}","{'id': 40, 'alpha2code': 'AT', 'alpha3code': 'AUT', 'name': 'Austria'}",1619
4258,Paco Jémez,Francisco,,Jémez Martín,1970-04-18,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",0
9454,G. Megson,Gary,,Megson,1959-05-02,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}","{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",0
167037,Pepe Mel,José ,,Mel Pérez,1963-02-28,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",714
210121,M. Giampaolo,Marco,,Giampaolo,1967-08-02,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",3164
228386,C. Titz,Christian,,Titz,1971-04-01,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",0
112633,J. Osorio,Juan Carlos,,Osorio Arbeláez,1961-06-08,"{'id': 170, 'alpha2code': 'CO', 'alpha3code': 'COL', 'name': 'Colombia'}","{'id': 170, 'alpha2code': 'CO', 'alpha3code': 'COL', 'name': 'Colombia'}",0
246913,M. Baroni,Marco,,Baroni,1963-09-11,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",3254
169425,Quique Sánchez Flores,Enrique ,,Sánchez Flores,1965-02-02,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",9134
135542,M. Koller,Marcel,,Koller,1960-11-11,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}","{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",6407
14791,J. Klopp,Jürgen,,Klopp,1967-06-16,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1612
254174,M. Pellegrino,Mauricio,,Pellegrino,1971-10-05,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}","{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",712
136439,C. Coleman,Chris,,Coleman,1970-06-10,"{'id': 1013, 'alpha2code': 'WA', 'alpha3code': 'XWA', 'name': 'Wales'}","{'id': 1013, 'alpha2code': 'WA', 'alpha3code': 'XWA', 'name': 'Wales'}",22275
3265,Unai Emery,Unai,,Emery Etxegoien,1971-11-03,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1609
20860,D. Ballardini,Davide,,Ballardini,1964-01-06,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",0
276858,G. Southgate,Gareth,,Southgate,1970-09-03,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}","{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",0
26012,C. Gourcuff,Christian,,Gourcuff,1955-04-05,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}","{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",16444
145007,A. Jonker,Andries,,Jonker,1962-09-22,"{'id': 528, 'alpha2code': 'NL', 'alpha3code': 'NLD', 'name': 'Netherlands'}","{'id': 528, 'alpha2code': 'NL', 'alpha3code': 'NLD', 'name': 'Netherlands'}",0
4054,José González,José Manuel,,González López,1966-10-14,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",0
8934,E. Howe,Eddie,,Howe,1977-11-29,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}","{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1659
210701,V. Petković,Vladimir,,Petković,1963-08-15,"{'id': 70, 'alpha2code': 'BA', 'alpha3code': 'BIH', 'name': 'Bosnia-Herzegovina'}","{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",0
210254,F. Pecchia,Fabio,,Pecchia,1973-08-24,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}","{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",12814
28158,J. Pinot,José,,Pinot,1965-04-30,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}","{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",0
484354,Ó. Ramírez,Óscar Antonio,,Ramírez Hernández,1964-12-08,"{'id': 188, 'alpha2code': 'CR', 'alpha3code': 'CRI', 'name': 'Costa Rica'}","{'id': 188, 'alpha2code': 'CR', 'alpha3code': 'CRI', 'name': 'Costa Rica'}",0
367510,F. Kohfeldt,Florian,,Kohfeldt,1982-10-05,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",2443
261672,A. Nouri,Alexander,,Nouri,1979-08-20,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",0
525079,Cristóbal,Cristóbal,,Parralo Aguilera,1967-08-21,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",741
3396,M. Bielsa,Marcelo Alberto,,Bielsa Caldera,1955-07-21,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}","{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1630
209364,N. Maâloul,Nabil,,Maâloul,1962-07-25,"{'id': 788, 'alpha2code': 'TN', 'alpha3code': 'TUN', 'name': 'Tunisia'}","{'id': 788, 'alpha2code': 'TN', 'alpha3code': 'TUN', 'name': 'Tunisia'}",0
32637,F. Terim,Fatih,,Terim,1953-09-04,"{'id': 792, 'alpha2code': 'TR', 'alpha3code': 'TUR', 'name': 'Turkey'}","{'id': 792, 'alpha2code': 'TR', 'alpha3code': 'TUR', 'name': 'Turkey'}",4492
16837,A. Schwartz,Alois,,Schwartz,1967-03-28,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}","{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",2472
122788,Z. Dalic,Zlatko,,Dalic,1966-10-26,"{'id': 70, 'alpha2code': 'BA', 'alpha3code': 'BIH', 'name': 'Bosnia-Herzegovina'}","{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",0
33204,H. Cúper,Héctor Raúl,,Cúper,1955-11-16,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}","{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",0
248800,M. Fomenko,Mikhail Ivanovich,,Fomenko,1948-09-19,"{'id': 804, 'alpha2code': 'UA', 'alpha3code': 'UKR', 'name': 'Ukraine'}","{'id': 804, 'alpha2code': 'UA', 'alpha3code': 'UKR', 'name': 'Ukraine'}",0
94654,A. Nishino,Akira,,Nishino,1955-04-07,"{'id': 392, 'alpha2code': 'JP', 'alpha3code': 'JPN', 'name': 'Japan'}","{'id': 392, 'alpha2code': 'JP', 'alpha3code': 'JPN', 'name': 'Japan'}",0
269869,S. Bilić,Slaven,,Bilić,1968-09-11,"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}","{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",0
531745,Paco,Francisco,,de Míguel Moreno,1973-02-19,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}","{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1613
3295,José Mourinho,José Mario Felix,,dos Santos Mourinho,1963-01-26,"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}","{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",0
