wyId,shortName,firstName,middleName,lastName,birthDate,birthArea.id,birthArea.alpha2code,birthArea.alpha3code,birthArea.name,passportArea.id,passportArea.alpha2code,passportArea.alpha3code,passportArea.name
378217,A. Guzmán,Alexander,,Guzmán Bonilla,,170,CO,COL,Colombia,170,CO,COL,Colombia
385011,S. Bennett,Simon,,Bennett,,826,EN,XEN,England,826,EN,XEN,England
385544,H. Osmers,Harm,,Osmers,1985-01-28,276,DE,DEU,Germany,276,DE,DEU,Germany
383894,F. Assmuth,Frederick,,Assmuth,1977-12-20,276,DE,DEU,Germany,276,DE,DEU,Germany
385800,F. Hebrard,Frédéric,,Hebrard,,250,FR,FRA,France,250,FR,FRA,France
385015,Javier Aguilar,Javier,,Aguilar Rodríguez,,724,ES,ESP,Spain,724,ES,ESP,Spain
395082,Víctor Pérez,Víctor,,Pérez Peraza,1984-12-28,724,ES,ESP,Spain,724,ES,ESP,Spain
395056,Alfonso Álvarez,Alfonso,,Álvarez Izquierdo,1972-09-12,724,ES,ESP,Spain,724,ES,ESP,Spain
380678,Abdulrahman Al Jassim,Abdulrahman Ibrahim,,Al Jassim,,634,QA,QAT,Qatar,634,QA,QAT,Qatar
381835,G. Winkmann,Guido,,Winkmann,1973-11-27,276,DE,DEU,Germany,276,DE,DEU,Germany
385997,N. Hopton,Nicholas,,Hopton,,826,EN,XEN,England,826,EN,XEN,England
408156,G. Scott,Graham,,Scott,,826,EN,XEN,England,826,EN,XEN,England
382685,J. Fletcher,Joe,,Fletcher,1976-09-10,124,CA,CAN,Canada,124,CA,CAN,Canada
385514,C. Mugnier,Cyril,,Mugnier,,250,FR,FRA,France,250,FR,FRA,France
385917,S. Long,Simon,,Long,,826,EN,XEN,England,826,EN,XEN,England
385495,F. Batta,Florent,,Batta,1980-06-14,250,FR,FRA,France,250,FR,FRA,France
384961,Javier Estrada,Javier,,Estrada Fernández,1976-01-27,724,ES,ESP,Spain,724,ES,ESP,Spain
385794,N. Henninot,Nicolas,,Henninot,1977-04-10,250,FR,FRA,France,250,FR,FRA,France
518503,V. Vecchi,Valerio,,Vecchi,,380,IT,ITA,Italy,380,IT,ITA,Italy
381853,L. Mason,Lee,,Mason,1971-10-29,826,EN,XEN,England,826,EN,XEN,England
395306,Carlos Álvarez,Carlos,,Álvarez Fernández,1990-07-16,724,ES,ESP,Spain,724,ES,ESP,Spain
384628,S. De Almeida,Stéphane,,De Almeida,,756,CH,CHE,Switzerland,756,CH,CHE,Switzerland
386322,A. Drouet,Aurélien,,Drouet,,250,FR,FRA,France,250,FR,FRA,France
379365,M. Annonier,Mickael,,Annonier,1972-06-18,250,FR,FRA,France,250,FR,FRA,France
407046,M. Conger,Matthew,,Conger,1978-10-11,554,NZ,NZL,New Zealand,554,NZ,NZL,New Zealand
457401,V. Colarossi,Valerio,,Colarossi,1984-06-13,380,IT,ITA,Italy,380,IT,ITA,Italy
380599,A. Faghani,Alireza,,Faghani,1978-03-21,364,IR,IRN,Iran,364,IR,IRN,Iran
385483,J. Hamel,Johan,,Hamel,1980-10-11,250,FR,FRA,France,250,FR,FRA,France
393612,V. Marini,Valerio,,Marini,1982-09-13,380,IT,ITA,Italy,380,IT,ITA,Italy
394375,A. Baert,Arnaud,,Baert,,250,FR,FRA,France,250,FR,FRA,France
379359,T. Stieler,Tobias,,Stieler,1981-07-02,276,DE,DEU,Germany,276,DE,DEU,Germany
379551,H. Lennard,Harry,,Lennard,,826,EN,XEN,England,826,EN,XEN,England
385519,T. Bouille,Thierry,,Bouille,,250,FR,FRA,France,250,FR,FRA,France
383898,M. Jöllenbeck,Matthias,,Jöllenbeck,,276,DE,DEU,Germany,276,DE,DEU,Germany
385532,P. Gaillouste,Pierre ,,Gaillouste,,250,FR,FRA,France,250,FR,FRA,France
386316,M. Rahmouni,Mehdi,,Rahmouni,,250,FR,FRA,France,250,FR,FRA,France
388419,C. La Rocca,Claudio,,La Rocca,,380,IT,ITA,Italy,380,IT,ITA,Italy
379010,S. Lapochkin,Sergey,,Lapochkin,1981-04-28,643,RU,RUS,Russia,643,RU,RUS,Russia
411252,A. Etchiali,Abdelhak,,Etchiali,1981-06-27,12,DZ,DZA,Algeria,12,DZ,DZA,Algeria
388412,G. Paganessi,Giacomo,,Paganessi,,380,IT,ITA,Italy,380,IT,ITA,Italy
385956,O. Langford,Oliver,,Langford,,826,EN,XEN,England,826,EN,XEN,England
388342,C. Mouysset,Cédric,,Mouysset,,250,FR,FRA,France,250,FR,FRA,France
380595,Yaser Tulefat,Yaser Khalil Ebrahim,,Abdulla Tulefat,1974-06-24,48,BH,BHR,Bahrain,48,BH,BHR,Bahrain
388413,V. Fiorito,Valentino,,Fiorito,1976-07-30,380,IT,ITA,Italy,380,IT,ITA,Italy
378951,C. Pawson,Craig,,Pawson,,826,EN,XEN,England,826,EN,XEN,England
386315,E. Wattellier,Eric,,Wattellier,,250,FR,FRA,France,250,FR,FRA,France
395058,Enrique Ramos,Enrique José,,Ramos Ferreiros,,724,ES,ESP,Spain,724,ES,ESP,Spain
393558,S. Alassio,Stefano,,Alassio,,380,IT,ITA,Italy,380,IT,ITA,Italy
385733,A. Holmes,Adrian,,Holmes,,826,EN,XEN,England,826,EN,XEN,England
386594,N. Davies,Neil,,Davies,,826,EN,XEN,England,826,EN,XEN,England
385745,C. Sarginson,Chris,,Sarginson,,826,EN,XEN,England,826,EN,XEN,England
